0;;
1;A02.0;ENTERITIS DEBIDA A SALMONELLA
2;A02.8;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA
3;A04.7;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE
4;A04.8;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS
5;A04.9;INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA
6;A05.9;INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA
7;A06.0;DISENTERÍA AMEBIANA AGUDA
8;A08.0;ENTERITIS DEBIDA A ROTAVIRUS
9;A08.2;ENTERITIS DEBIDA A ADENOVIRUS
10;A08.3;OTRAS ENTERITIS VIRALES
11;A08.4;INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN
12;A09.0;OTRAS GASTROENTENRITIS Y COLITIS, DE ORIGEN INFECCIOSO NO ESPECIFICADO
13;A09.9;GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO
14;A15.0;TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR HALLAZGO MICROSCÓPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO
15;A15.1;TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO
16;A15.3;TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS
17;A15.6;PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE
18;A16.2;TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA
19;A16.9;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA
20;A18.0;TUBERCULOSIS DE HUESOS Y ARTICULACIONES
21;A18.4;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTÁNEO
22;A19.2;TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA
23;A32.9;LISTERIOSIS, NO ESPECIFICADA
24;A37.0;TOS FERINA DEBIDA A BORDETELLA PERTUSSIS
25;A38;ESCARLATINA
26;A40.3;OTRAS SEPSIS POR ESTREPTOCOCO PNEUMONIAE
27;A41.0;SEPSIS POR ESTAFILOCOCO AUREUS
28;A41.1;SEPSIS POR OTROS ESTAFILOCOCOS ESPECIFICADOS
29;A41.2;SEPSIS POR OTROS ESTAFILOCOCOS NO ESPECIFICADOS
30;A41.4;SEPSIS POR ANEROBIOS
31;A41.5;SEPSIS POR OTROS ORGANNISMOS GRAM NEGATIVOS
32;A41.8;OTRAS SEPTICEMIAS ESPECIFICADAS
33;A41.9;SEPSIS NO ESPECIFICADA
34;A46;ERISIPELA
35;A48.1;ENFERMEDAD DE LOS LEGIONARIOS
36;A48.8;OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS
37;A49.0;INFECCIÓN ESTAFILOCÓCICA, DE SITIO NO ESPECIFICADO
38;A49.1;INFECCIÓN ESTREPTOCÓCICA, DE SITIO NO ESPECIFICADO
39;A49.2;INFECCIÓN POR HAEMOPHILUS INFLUENZAE, DE SITIO NO ESPECIFICADO
40;A49.8;OTRAS INFECCIONES BACTERIANAS, DE SITIO NO ESPECIFICADO
41;A49.9;INFECCIÓN BACTERIANA, NO ESPECIFICADA
42;A50.0;SÍFILIS CONGÉNITA PRECOZ, SINTOMÁTICA
43;A50.1;SÍFILIS CONGÉNITA PRECOZ, LATENTE
44;A50.2;SÍFILIS CONGÉNITA PRECOZ, SIN OTRA ESPECIFICACIÓN
45;A50.9;SÍFILIS CONGÉNITA, SIN OTRA ESPECIFICACIÓN
46;A51.4;OTRAS SÍFILIS SECUNDARIAS
47;A52.3;NEUROSÍFILIS NO ESPECIFICADA
48;A52.7;OTRAS SÍFILIS TARDÍAS SINTOMÁTICAS
49;A52.8;SÍFILIS TARDÍA, LATENTE
50;A53.0;SÍFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDÍA
51;A53.9;SÍFILIS, NO ESPECIFICADA
52;A54.1;INFECCIÓN GONOCÓCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLÁNDULAS ACCESORIAS
53;A54.8;OTRAS INFECCIONES GONOCÓCICAS
54;A54.9;INFECCIÓN GONOCÓCICA, NO ESPECIFICADA
55;A60.0;INFECCIÓN DE GENITALES Y TRAYECTO UROGENITAL DEBIDA A VIRUS DEL HERPES [HERPES SIMPLE]
56;A63.0;VERRUGAS (VENÉREAS) ANOGENITALES
57;A81.2;LEUCOENCEFALOPATÍA MULTIFOCAL PROGRESIVA
58;B00.1;DERMATITIS VESICULAR HERPÉTICA
59;B00.2;GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS HERPÉTICA
60;B00.4;ENCEFALITIS HERPÉTICA (G05.1*)
61;B00.9;INFECCIÓN DEBIDA AL VIRUS DEL HERPES, NO ESPECIFICADA
62;B02.2;HERPES ZOSTER CON OTROS COMPROMISOS DEL SISTEMA NERVIOSO
63;B02.3;HERPES ZOSTER OCULAR
64;B02.8;HERPES ZOSTER CON OTRAS COMPLICACIONES
65;B02.9;HERPES ZOSTER SIN COMPLICACIONES
66;B08.1;MOLUSCO CONTAGIOSO
